participant,graded,image
expert1,1,US.277
expert1,2,US.051
expert1,1,US.162
expert1,1,US.272
expert1,2,US.247
expert1,5,US.324
expert1,3,US.296
expert1,1,US.465
expert1,1,US.350
expert1,1,US.342
expert1,5,US.506
expert1,1,US.188
expert1,1,US.040
expert1,2,US.111
expert1,1,US.344
expert1,1,US.193
expert1,1,US.425
expert1,2,US.100
expert1,1,US.461
expert1,5,US.335
expert1,4,US.444
expert1,1,US.233
expert1,1,US.259
expert1,2,US.352
expert1,2,US.318
expert1,1,US.374
expert1,6,US.420
expert1,1,US.327
expert1,7,US.070
expert1,6,US.019
expert1,1,US.183
expert1,2,US.267
expert1,1,US.421
expert1,3,US.391
expert1,3,US.406
expert1,2,US.153
expert1,1,US.056
expert1,2,US.472
expert1,1,US.477
expert1,1,US.147
expert1,4,US.001
expert1,2,US.005
expert1,1,US.381
expert1,3,US.113
expert1,1,US.141
expert1,7,US.140
expert1,2,US.042
expert1,2,US.404
expert1,5,US.452
expert1,3,US.201
expert1,1,US.036
expert1,2,US.343
expert1,1,US.186
expert1,5,US.251
expert1,5,US.285
expert1,3,US.154
expert1,3,US.191
expert1,1,US.392
expert1,1,US.199
expert1,3,US.027
expert1,4,US.237
expert1,2,US.044
expert1,5,US.253
expert1,3,US.402
expert1,2,US.167
expert1,2,US.080
expert1,5,US.179
expert1,4,US.331
expert1,4,US.459
expert1,1,US.230
expert1,1,US.093
expert1,7,US.115
expert1,1,US.065
expert1,2,US.087
expert1,3,US.058
expert1,5,US.158
expert1,3,US.501
expert1,3,US.292
expert1,6,US.329
expert1,3,US.212
expert1,4,US.236
expert1,6,US.398
expert1,2,US.089
expert1,3,US.003
expert1,1,US.410
expert1,4,US.252
expert1,6,US.085
expert1,2,US.338
expert1,7,US.366
expert1,5,US.068
expert1,2,US.375
expert1,2,US.227
expert1,1,US.109
expert1,1,US.457
expert1,1,US.046
expert1,1,US.075
expert1,1,US.480
expert1,6,US.229
expert1,4,US.256
expert1,2,US.106
expert1,7,US.187
expert1,1,US.128
expert1,4,US.334
expert1,1,US.309
expert1,2,US.208
expert1,2,US.337
expert1,7,US.395
expert1,2,US.177
expert1,4,US.059
expert1,5,US.487
expert1,1,US.303
expert1,1,US.047
expert1,1,US.095
expert1,6,US.307
expert1,2,US.413
expert1,1,US.129
expert1,1,US.014
expert1,2,US.349
expert1,1,US.069
expert1,1,US.041
expert1,2,US.504
expert1,7,US.362
expert1,1,US.399
expert1,1,US.316
expert1,1,US.340
expert1,2,US.023
expert1,2,US.446
expert1,4,US.288
expert1,2,US.287
expert1,4,US.428
expert1,1,US.463
expert1,1,US.102
expert1,1,US.142
expert1,2,US.238
expert1,1,US.493
expert1,7,US.511
expert1,1,US.323
expert1,6,US.283
expert1,3,US.275
expert1,4,US.436
expert1,6,US.314
expert1,2,US.473
expert1,1,US.313
expert1,2,US.339
expert1,6,US.369
expert1,2,US.468
expert1,3,US.200
expert1,2,US.121
expert1,7,US.160
expert1,1,US.273
expert1,2,US.298
expert1,1,US.180
expert1,1,US.211
expert1,1,US.346
expert1,5,US.382
expert1,1,US.242
expert1,2,US.063
expert1,1,US.284
expert1,3,US.408
expert1,7,US.345
expert1,1,US.291
expert1,7,US.348
expert1,1,US.265
expert1,5,US.249
expert1,1,US.248
expert1,1,US.449
expert1,1,US.385
expert1,1,US.393
expert1,2,US.310
expert1,2,US.336
expert1,1,US.007
expert1,1,US.389
expert1,6,US.016
expert1,1,US.417
expert1,4,US.231
expert1,5,US.110
expert1,4,US.124
expert1,3,US.050
expert1,1,US.462
expert1,4,US.192
expert1,3,US.028
expert1,1,US.491
expert1,1,US.030
expert1,2,US.380
expert1,7,US.450
expert1,1,US.437
expert1,1,US.038
expert1,4,US.161
expert1,1,US.394
expert1,2,US.090
expert1,3,US.209
expert1,4,US.015
expert1,3,US.079
expert1,2,US.220
expert1,1,US.270
expert1,2,US.423
expert1,4,US.384
expert1,7,US.206
expert1,6,US.012
expert1,1,US.224
expert1,3,US.117
expert1,3,US.301
expert1,6,US.064
expert1,7,US.190
expert1,6,US.414
expert1,6,US.245
expert1,3,US.131
expert1,4,US.476
expert1,2,US.478
expert1,3,US.125
expert1,1,US.169
expert1,3,US.143
expert1,4,US.419
expert1,1,US.118
expert1,4,US.155
expert1,5,US.427
expert1,2,US.368
expert1,1,US.370
expert1,2,US.297
expert1,4,US.409
expert1,5,US.178
expert1,7,US.081
expert1,1,US.132
expert1,1,US.447
expert1,2,US.365
expert1,5,US.240
expert4,2,US.315
expert4,1,US.456
expert4,3,US.176
expert4,3,US.088
expert4,4,US.403
expert4,5,US.295
expert4,2,US.148
expert4,3,US.467
expert4,4,US.372
expert4,1,US.513
expert4,6,US.134
expert4,3,US.082
expert4,2,US.057
expert4,5,US.439
expert4,5,US.072
expert4,6,US.286
expert4,1,US.107
expert4,4,US.514
expert4,1,US.360
expert4,5,US.400
expert4,4,US.442
expert4,5,US.434
expert4,6,US.198
expert4,2,US.470
expert4,2,US.194
expert4,4,US.507
expert4,3,US.455
expert4,2,US.508
expert4,1,US.119
expert4,1,US.415
expert4,1,US.086
expert4,7,US.401
expert4,2,US.105
expert4,1,US.114
expert4,1,US.084
expert4,3,US.364
expert4,1,US.261
expert4,6,US.013
expert4,2,US.378
expert4,1,US.083
expert4,6,US.243
expert4,1,US.032
expert4,1,US.281
expert4,2,US.499
expert4,1,US.430
expert4,1,US.510
